epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7795714139938354,0.4443342685699463,2e-05,0.8640000224113464,0.29038283228874207
1,0.8989999890327454,0.24650351703166962,2e-05,0.8880000114440918,0.2678220272064209
2,0.9531428813934326,0.13391487300395966,2e-05,0.8759999871253967,0.3688754439353943
